Date;Level;Message
"2025-08-25 11:09:17";NOTICE;"Plugin activated: nitropack/main.php"
"2025-08-25 12:02:25";NOTICE;"Post updated: 76"
"2025-08-25 12:02:57";NOTICE;"Post updated: 76"
